Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,854620,-,-,-,25.81,15.42,0,535,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Fill Flag,Relative Humidity,Pressure,Wind Speed,Wind Direction,Surface Albedo,Ozone,DNI,DHI,GHI,Solar Zenith Angle,Precipitable Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,71.15,960,1.3,331,0.36,0.272,0,0,0,159.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,74.63,960,1.3,325,0.36,0.273,0,0,0,146.21,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,79.39,960,1.3,323,0.36,0.273,0,0,0,132.78,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,83.76,960,1.4,324,0.36,0.273,0,0,0,119.52,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,87.01,960,1.4,326,0.36,0.273,0,0,0,106.51,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,82.87,961,1.6,329,0.36,0.273,0,0,0,93.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,70.95,962,2.2,329,0.36,0.273,503,43,115,81.77,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,0,58.4,962,2.5,328,0.36,0.273,772,71,326,70.72,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,0,46.19,962,3.3,331,0.36,0.272,885,87,515,61.06,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,0,39.76,962,4.3,328,0.36,0.271,931,98,650,53.61,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,0,37.1,961,4.8,320,0.36,0.27,950,104,723,49.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,0,35.36,960,5.1,315,0.36,0.27,946,107,724,49.27,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,0,34.62,960,5.4,314,0.36,0.27,915,105,653,53.26,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,0,34.74,960,5.4,315,0.36,0.269,849,99,516,60.55,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,0,37.07,960,4.5,317,0.36,0.269,718,84,328,70.11,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,0,43.83,961,3.1,319,0.36,0.268,431,53,120,81.09,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,0,51.17,962,2.4,320,0.36,0.267,0,0,0,93.17,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,0,55.15,962,2.4,318,0.36,0.267,0,0,0,105.75,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,58.58,962,2.3,313,0.36,0.265,0,0,0,118.74,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,61.77,962,2.3,306,0.36,0.264,0,0,0,131.99,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,64.64,962,2.4,303,0.36,0.263,0,0,0,145.41,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,67.46,962,2.6,306,0.36,0.261,0,0,0,158.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,69.89,962,2.7,313,0.36,0.261,0,0,0,172.19,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,69.96,962,2.7,317,0.36,0.261,0,0,0,173.01,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,71.61,962,2.7,328,0.37,0.261,0,0,0,159.79,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,72.39,962,2.5,335,0.37,0.262,0,0,0,146.29,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,73.26,962,2.3,339,0.37,0.263,0,0,0,132.87,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,75.73,962,2.1,339,0.37,0.264,0,0,0,119.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,80.69,963,1.8,335,0.37,0.264,0,0,0,106.58,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,82.17,963,2,329,0.37,0.265,0,0,0,93.96,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,74.77,963,2.7,322,0.37,0.265,467,48,114,81.82,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,0,64.24,964,3.7,331,0.37,0.265,758,78,328,70.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,0,54.73,963,4.3,343,0.37,0.266,874,97,520,61.06,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,0,45.57,963,4.3,343,0.37,0.267,928,109,660,53.58,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,0,39.8,962,4.1,339,0.37,0.266,951,115,735,49.33,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,0,35.87,961,3.9,335,0.37,0.265,946,115,733,49.17,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,0,33.88,960,3.7,330,0.37,0.264,925,109,664,53.13,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,0,33.32,960,3.4,328,0.37,0.264,872,97,528,60.41,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,0,35.62,961,2.5,328,0.37,0.263,762,79,340,69.97,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,0,42.26,961,1.5,331,0.37,0.262,506,49,129,80.96,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,0,48.44,961,1.3,333,0.37,0.262,0,0,0,93.03,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,49.78,961,1.2,332,0.37,0.261,0,0,0,105.62,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,50.31,961,1,327,0.37,0.261,0,0,0,118.61,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,1,51.03,961,0.8,313,0.37,0.26,0,0,0,131.87,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,51.95,960,0.7,288,0.37,0.259,0,0,0,145.29,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,1,53.67,960,0.7,262,0.37,0.258,0,0,0,158.78,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,56.21,960,0.9,248,0.37,0.257,0,0,0,172.05,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,30,0,57.7,960,1,244,0.37,0.257,0,0,0,173.07,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
